# Engine name: 
# Sat May 25 10:25:08 2019
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2.3500    680.0000      0.0000      1.0000    670.3782   2997.7819     17.7487      1.1900      1.1844   1795.4564    273.0937    298.7963      1.5332      1.6708      0.9570 
     2.3500    690.0000      0.0000      1.0000    670.3782   2998.3359     17.7496      1.1901      1.1846   1795.7667    273.4989    299.0953      1.5352      1.6722      0.9571 
     2.3500    700.0000      0.0000      1.0000    670.3782   2998.8795     17.7505      1.1903      1.1847   1796.0722    273.8970    299.3891      1.5372      1.6736      0.9573 
     2.3500    710.0000      0.0000      1.0000    670.3782   2999.4133     17.7514      1.1904      1.1848   1796.3731    274.2880    299.6780      1.5391      1.6749      0.9574 
     2.3500    720.0000      0.0000      1.0000    670.3782   2999.9375     17.7522      1.1905      1.1850   1796.6695    274.6722    299.9621      1.5410      1.6763      0.9575 
     2.3500    730.0000      0.0000      1.0000    670.3782   3000.4524     17.7531      1.1906      1.1851   1796.9616    275.0497    300.2414      1.5428      1.6776      0.9576 
     2.3500    740.0000      0.0000      1.0000    670.3782   3000.9583     17.7539      1.1907      1.1853   1797.2494    275.4208    300.5162      1.5446      1.6789      0.9577 
     2.3500    750.0000      0.0000      1.0000    670.3782   3001.4554     17.7547      1.1908      1.1854   1797.5332    275.7858    300.7866      1.5464      1.6802      0.9578 
     2.3500    760.0000      0.0000      1.0000    670.3782   3001.9441     17.7555      1.1909      1.1855   1797.8129    276.1446    301.0526      1.5481      1.6814      0.9580 
     2.3500    770.0000      0.0000      1.0000    670.3782   3002.4246     17.7563      1.1910      1.1856   1798.0888    276.4976    301.3145      1.5499      1.6826      0.9581 
     2.3500    780.0000      0.0000      1.0000    670.3782   3002.8970     17.7571      1.1911      1.1858   1798.3609    276.8449    301.5723      1.5516      1.6839      0.9582 
     2.3500    790.0000      0.0000      1.0000    670.3782   3003.3617     17.7579      1.1912      1.1859   1798.6293    277.1868    301.8263      1.5532      1.6850      0.9583 
